"Urea Fertilization, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Texas","0.11078824917596541","0.1572871947745623","0.1481720177810034","0.16318515068493153","0.17869019238561795","0.16782244119870574","0.16998396963923917","0.1871457113308537","0.20870348664912758","0.21134715897063716","0.21777256004112613","0.24878153642384104","0.2625916647010796","0.2066117336478273","0.10361078460189302","0.10417980416704466","0.09651286304393843","0.09284081429737821","0.09889949015694458","0.11233958680335057","0.10369197350993377","0.09268117209471106","0.0857527507937948","0.10172532293084156","0.11793250319029908","0.13387770721824066","0.1332134401403127","0.13719418716018075","0.1558800053258048","0.16550429582594195","0.1751285863260791","0.18475287682621885","0.19437716732635602"
"Wisconsin","0.08026893428891106","0.07261003634824155","0.07586319296017419","0.07487766693882489","0.07730721497474978","0.07748973467598054","0.08320386960597538","0.09017103123771508","0.08925367068856027","0.08812226169524327","0.08550941824669629","0.07427088499803443","0.09004191720342314","0.1179828845141976","0.11807396474039131","0.11531971030270044","0.1308186634007681","0.12898911947745623","0.09666182491154858","0.10404286116907073","0.13068983144334576","0.16401539605068194","0.1920547416613747","0.20195719386736824","0.19966404330339593","0.2002183137077021","0.19391464743415285","0.1811421945386915","0.18463016540018476","0.18013332606083562","0.17563648672148655","0.17113964738213616","0.16664280804278708"
"Missouri","0.1755554574979588","0.1517009737216124","0.15320535353352083","0.15329384982914512","0.1401600021772657","0.12104228358885964","0.10883888778009615","0.11883916078502525","0.12988717505821162","0.12340208146602559","0.12255367806707189","0.13408341709758384","0.13251000961625692","0.13200311615107807","0.141956992833167","0.13587159684296474","0.15691475484592823","0.16983987625873173","0.1548288163536847","0.15786970080740273","0.15888460806193114","0.14666399491971333","0.15107115860775952","0.16445575263842271","0.1805302436723215","0.18278691185097823","0.15914092146723516","0.1647886757265113","0.16852413070735126","0.16761947220870613","0.16671481371006105","0.16581015521141595","0.16490549671277083"
"Idaho","0.0551449981553721","0.05908609767455925","0.06608615186428378","0.06867424972028185","0.06907888499803443","0.0757798286008044","0.09371740675557169","0.10608425413529286","0.09006283213886117","0.08726132849496508","0.08504180797725967","0.08548813607910732","0.08943094934833229","0.09955833789954338","0.11833099930448454","0.12860516096646404","0.1301598755329765","0.12384923317911035","0.11825535746469504","0.09211237340107051","0.0849954329432399","0.12240500226798513","0.11474892775711394","0.10996393806888627","0.06494842275242675","0.08863391055066679","0.13611538177749552","0.13783137100003096","0.12907661261548165","0.13702133653015752","0.14496606044483334","0.15291078435951164","0.1608555082741875"
"Ohio","0.08085236106323142","0.06689040757204633","0.0841377768907436","0.11963235562006713","0.10753085076657895","0.0999197808219178","0.07203580368320783","0.057678833469412445","0.09483306734403824","0.12660237527593818","0.12675055610995192","0.1329420369530376","0.10766912564637578","0.059101071698569665","0.06144047355529349","0.062129559406090294","0.05429136968157489","0.047203240980979166","0.06069251347183163","0.05717472351749373","0.05131303045148023","0.04402714058483777","0.04407154108077051","0.053914146421119476","0.09554271686473738","0.13623066073966555","0.06447736236354291","0.07435114917294143","0.1054824893493878","0.10914225896182718","0.11280202857426658","0.11646179818670592","0.12012156779914532"
"Illinois","0.11827906256614958","0.10215695642444586","0.0967604307357344","0.09692186652151563","0.08246157767093047","0.07810808442952613","0.06925537331035109","0.06208157573558318","0.07032947146874716","0.055292354047597456","0.05724480897517313","0.06511531912062658","0.059682764764583146","0.05579026629169312","0.0504664552299737","0.05640769530375881","0.06239372838610179","0.05506436009555777","0.06120020526777345","0.0584656895581965","0.04586234334270767","0.061174460431219574","0.06467755178566029","0.0652285929420303","0.06340490743596722","0.06672348725392363","0.07960301599685506","0.08952102727025257","0.08825940415028857","0.09403385032394415","0.09980829649759973","0.10558274267125287","0.11135718884490843"
"Kentucky","0.08622793323051801","0.07773121509570897","0.07953521509570897","0.0807844909734192","0.07959933569203785","0.07019324031570352","0.06807554821736368","0.07003807009586017","0.07872076736520608","0.07795486479784693","0.0748303179412743","0.06835714076627657","0.06908106044936346","0.06742277044966584","0.06499905555051559","0.05772120886630983","0.062124696241192656","0.0635640706401766","0.06884632858568447","0.06668807330127914","0.06086910689769876","0.06641121884544436","0.06594105125646377","0.0699732655961777","0.0720015300130031","0.07833783870089812","0.0845625074843509","0.08570562612718834","0.09166377344612951","0.09601773077097531","0.10037168809582112","0.10472564542066559","0.10907960274551141"
"Wyoming","0.005057071456651244","0.005651025552632375","0.005916292237442923","0.006158717348574193","0.006915489673107744","0.00712813438567843","0.00741397006259639","0.007647326136260547","0.00768053270434546","0.007467166832985575","0.007412538389428166","0.00658425558680335","0.006055535758565423","0.00609447434152832","0.006293909341074723","0.006119516647010796","0.006137687985726814","0.006510013486951526","0.006896386948501618","0.034237924944812356","0.09220995470077718","0.10804248232483595","0.11158310320844296","0.11077797732014877","0.10888132571290333","0.10794965242372008","0.10928959339562733","0.1094391622607276","0.10786295239040986","0.10751083025594733","0.10715870812148479","0.10680658598702228","0.10645446385255976"
"Indiana","0.07630773147056155","0.0625673959297227","0.06005401917203423","0.05482876470410355","0.057428382473010985","0.05165923057848742","0.04291457885028274","0.03744942199643171","0.04314836868366144","0.04131331760863649","0.04503511167558741","0.05166425873174273","0.047525895672684386","0.049757275393873424","0.05771794103238684","0.06463639517372767","0.060087663491487496","0.061146468293568","0.06704697487072485","0.06700937615289243","0.06182827336780671","0.07305032640841877","0.07946778275726511","0.07946354495146511","0.0803374071184493","0.06998300523148568","0.08159447071275212","0.09905969744473714","0.08892091836847893","0.09256283598201319","0.09620475359554743","0.09984667120908286","0.10348858882261713"
"Washington","0.03373744872841634","0.03104996135353352","0.031972251595149534","0.03867328966705978","0.0434081282167589","0.0449135817835435","0.04353000804378724","0.03954983555595875","0.03824935740421543","0.0360160390698237","0.03857456143215701","0.04737417158063443","0.04399698896247241","0.050196544921225314","0.05384456657292329","0.05859663043938432","0.06316880244337596","0.06850859475641839","0.06865204681121291","0.05001226623121352","0.05652826054613082","0.06149132456379086","0.050938367171671356","0.05327222062959267","0.05061700843690466","0.057649351114336694","0.0655619758686383","0.07245658693035784","0.07270897069166929","0.07733933679553574","0.08196970289940216","0.08660006900326858","0.091230435107135"
