"Manure Management, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Michigan","1.1404756165426029","1.1872839564858568","1.0846086237297072","1.147490939136378","1.1938598430452732","1.2349327914619934","1.1636506950640169","1.136681121974026","1.2267619313663032","1.241876867758447","1.2123802489755657","1.2512507956685635","1.3190369592529425","1.3222259030441934","1.3033344429159914","1.430031833752236","1.4278126605936792","1.5974712503297217","1.5393380681967492","1.5920745705509374","1.8044348765643912","1.8261152681423654","1.9552583866826847","1.9636004509894365","2.001072485161595","2.2595548784530544","2.478339255402724","2.507985532132796","2.6114754698666656","2.5349872332825503","2.6090704449857194","2.756791927504265","2.6472328731741155"
"Illinois","2.3194297119507574","2.556937223616907","2.310861471659905","2.3292000014526755","2.3724370673195367","2.3158539618228855","1.9783965104974723","1.9019948904176864","2.1618756690222574","1.9025980555114903","1.8290372363305978","1.8539280208164526","1.893984420066298","1.7403473707156312","1.6853205311804536","1.8561801793336337","1.8729042366075899","1.9603576165771668","1.812262298824389","1.7676089800776194","2.069777973240998","2.045123394388666","2.196334640393288","2.032036099644192","2.0069764275710256","2.2025382180761817","2.4172075549119714","2.3962707309774727","2.4792429377374523","2.395242998371722","2.3441406860332727","2.464916299268299","2.3456172060712266"
"Indiana","1.8167349374162978","1.9944424814751187","1.7757652531408112","1.8376755512030845","1.823739329474387","1.8756445379852886","1.6381703127391585","1.5968441290451116","1.8397942893278088","1.6584968594014942","1.51460313035574","1.557222438999308","1.624564708819339","1.5064194452206252","1.5289218242797462","1.6253371694163177","1.5653280259298787","1.770985730173067","1.5969549920286374","1.5656444306630457","1.8381684503053912","1.8556647336512202","1.9766968352010448","1.8097066617062694","1.8345444065494907","2.0372419755418893","2.2239097256304476","2.1694667279645956","2.2469597134335846","2.2886470837701207","2.2128210145484126","2.387370946564454","2.3004668701009896"
"Ohio","1.2398508104005181","1.2863180960157057","1.1579611857232046","1.1645651881595966","1.1727367214958802","1.2212933531584333","1.1296462252026513","1.095820216836866","1.2170740019924402","1.2280724790031043","1.1467929280069311","1.2043983896455297","1.2726896722109866","1.2419475723383486","1.2597434137165604","1.3957317561155527","1.3998390588000467","1.559584134430047","1.54517884784047","1.5852656396740143","1.7457809570057898","1.7286794168804929","1.7799184879850245","1.7726362195590266","1.7568922562500453","1.9786415028754916","2.141506608846809","2.114536781531581","2.2575982083347954","2.2513248511569346","2.206383044142232","2.253240114776845","2.179564413411025"
"South Dakota","0.9014839544737642","0.9553098791079094","0.8680093433450106","0.8804986501040721","0.9184575069625688","0.8991255877483516","0.7685761590039557","0.791217858583545","0.840900449819508","0.8831848550540241","0.8991343746265218","0.9231025766367519","0.9402757441553597","0.9673306326666947","0.8875705825261863","1.0069444204001825","1.0389460395029837","1.068555949918184","1.0349612906308079","1.0151675039917676","1.095521812601484","1.1223361108177559","1.1549036607599492","1.1419890649813251","1.1612451690702594","1.2868689579395676","1.4500810834181193","1.4874122935515144","1.622520062342429","1.6492073590412784","1.7531898094727671","1.9178258082470523","2.050951231166594"
"Pennsylvania","1.0722384759092494","1.0998723024276305","1.0653773044649284","1.1330469460354122","1.135206896134178","1.1271569336854559","1.0874166280707036","1.1289620783338967","1.237891352191743","1.2917482136760574","1.2856406336114503","1.353596348462432","1.439452929386073","1.428502980816068","1.4097104035521575","1.53816372305984","1.5302582757822774","1.651050253065683","1.6262067997194325","1.6452717083087265","1.8111880725975846","1.8393521016995005","1.8800425081833778","1.886190053793451","1.9033633514716826","2.047930413095372","2.1402274594466886","2.11088005206379","2.198280061661816","2.1344142974909066","2.105044664012578","2.0860837483888535","2.0015379593838856"
"Oklahoma","0.7525842031864738","0.7518996188692407","0.7730650040550555","0.7913677721919177","0.9715023587275886","1.187378558799898","1.4071725641130999","1.7192251739997526","2.0366142691371425","2.1401402856768867","2.1936179473585984","2.236354364869623","2.1715376954544054","2.2036960643696006","2.1028333774028387","2.1504076996809087","2.1458987689246576","2.1290905092756502","2.0226189794745264","1.9720004903552537","2.0575155932336697","2.0925817024919438","2.030033812806138","1.835672580261726","1.6920017184564036","1.8287913826876974","1.8304877700303859","1.7597106312437767","1.8242919816627743","1.805622146821672","1.7945193588952402","1.7980118521576862","1.8256945657456238"
"Missouri","1.4703869570744994","1.5236428027323958","1.400197934356103","1.5240037674225757","1.6472403312304758","1.7034356973037377","1.6891246669941067","1.7051685170118893","1.8076139294892428","1.7027063211661322","1.6657585700646218","1.6625962806743808","1.6559602629305947","1.6147571924709396","1.5696248433528035","1.6221288438952957","1.60986569494458","1.8222420201248757","1.6873305718658205","1.7005255295715096","1.8153442584394028","1.7645749010043545","1.8972338189865","1.6727854018606436","1.6056230924780468","1.786251308923426","1.8601831569615805","1.896609026467664","2.0594511716624337","2.016279387109224","1.988030315069986","1.841108170205604","1.786839832056792"
"Colorado","0.9704318951391798","1.0063286855206754","1.0186117073193437","1.0329028078475848","1.1477073207175328","1.1939329661495697","1.241153635335909","1.3266046914646659","1.3570353723709525","1.4175372681325764","1.4625133231294223","1.4203081206740034","1.4441993247081055","1.3932182022119244","1.2564566457700614","1.3343418928775153","1.3907302949978744","1.465470666512235","1.4147394291882742","1.3237478779025784","1.3275794381581654","1.3844122895805324","1.466450308160919","1.4036699772556642","1.3894741566030622","1.4249698155643422","1.4392875520755593","1.495673169182972","1.570418327796993","1.6332201966086721","1.7164167865012172","1.8013444953142597","1.7737932986436435"
"Washington","0.882815099970167","0.9244130101424339","0.9424779144474521","0.9744961722241697","1.0784523077862562","1.0977172336200847","1.1046297489515116","1.1259068393529619","1.174079592028022","1.179479816576815","1.2077149294512493","1.2264385245675047","1.257845494547208","1.2861019972821766","1.1998590130301545","1.1757900979194984","1.1636420691836942","1.230770545002609","1.2219095970788774","1.2643383442235925","1.219372157987142","1.3110658860611177","1.379795826216823","1.4207078947973748","1.465450698074069","1.532865790542125","1.4974198659826428","1.521067572353378","1.5221213208118207","1.5373683780064247","1.5852096636727937","1.5909091422392914","1.5146152913302795"
"New Mexico","0.5010183227503351","0.5870067450946422","0.670952392460846","0.8130856164366425","1.0075472120987854","1.08523658802741","1.2114128394223733","1.2332493353098781","1.3429017149405897","1.360674235806206","1.4811479882084044","1.5747733007799423","1.6799345629521687","1.803670347005494","1.6671030355618446","1.6812185491290217","1.760313931689812","1.855558620220415","1.7556021900196952","1.7663534913061167","1.64527461753696","1.649343065449109","1.619265758545334","1.4823424372270186","1.4499141969432077","1.3903216741785136","1.3252473957186528","1.3629041840027876","1.420262891484395","1.41648453013506","1.4366894984076208","1.4425626629557862","1.2615809416936037"
"Georgia","1.0203066439655701","1.0447123363188557","1.0560151454450213","1.1032241505257232","1.1140088908091306","1.0745598296531826","1.0938365307653883","1.1236426754765392","1.2065071131629064","1.207151829294381","1.1532971190244543","1.1577241138587733","1.1585421121952377","1.1137394915196543","1.10784794092581","1.1107115711304578","1.0798833233888143","1.1244557275462883","1.0790281716362293","1.0495823837294265","1.0320560877663414","1.0528107950612409","1.0574733485095726","1.0528847693628725","1.0830243482082063","1.119410715445658","1.1117736994814245","1.1051292011764657","1.1195586440745569","1.1349315941857365","1.091676268607593","1.075863559437147","1.0779333424503519"
"Arizona","0.7930526785771974","0.7985093964748183","0.8020698004400331","0.8152752417593423","0.9319417604152889","0.9630706538828332","1.0082204158660006","1.0390808017035746","1.0410495053322693","1.1287713858345205","1.0849563579487917","1.2075760217308047","1.214798623854352","1.29052796331281","1.18941447241575","1.26034455850016","1.2647563742072865","1.394352709494512","1.3925860324207615","1.3908187802142749","1.2227618877771453","1.146420738933849","1.1692632181636182","1.1107792310373543","1.0964244729843542","1.070488086194808","1.0546509322688031","1.136632516310575","1.138389433195306","1.1285242082321223","1.100855841993479","1.0020191736518858","0.9785131031377204"
"Utah","0.34729606565480364","0.35358175705171363","0.34911508188723855","0.36053612862257317","0.397951371241549","0.41962847851689006","0.48869816503485636","0.5286398112896403","0.5524435189131437","0.6214229292358693","0.6710606822981413","0.6737484551365351","0.6604397180545116","0.6635611843221448","0.6051891958675498","0.6030008583765208","0.6063778506303458","0.6773409538174273","0.6194540637779058","0.5915903149205971","0.5930303512057622","0.6037536435749526","0.648804286342956","0.614136739560624","0.595654310306245","0.6105529139879848","0.5853291955136595","0.5740383924570859","0.5858293127544981","0.6301420364106071","0.6851176809749273","0.6739352058141966","0.6524057202382492"
"Alabama","1.021609571330456","0.8794121309999728","0.8333198291266617","0.827756761559635","0.8070404928908915","0.7619919771201176","0.6877180688323656","0.673353809843978","0.6743029114627691","0.6482600340218829","0.6514117537420588","0.658677504839479","0.6374794925073167","0.6213446810911404","0.6276704231792719","0.6171186277332601","0.6408021793197453","0.6425605739661162","0.6355373194436718","0.6155590717743558","0.6216676764736623","0.6256477667789636","0.6069559639513366","0.5945210895790881","0.6110744940314714","0.6174831877473099","0.5646919432953054","0.5919212206806509","0.6065675037816753","0.6143973548964197","0.6267006548518964","0.6252150680583258","0.6409135311927708"
"Florida","0.9031201940260721","0.8857367011911017","0.863387748127215","0.9016805989467293","0.9465353451544282","0.9146962812576691","0.8987644792275099","0.9394769911198247","0.971595998993693","0.9472368622356958","0.948359874530083","0.9553468781999767","0.9054463723406543","0.8776973595859121","0.8335040457715619","0.8269375717218469","0.8089228107344189","0.8226806099548521","0.7359466939636017","0.7341889425440974","0.6905589932967399","0.7290407926433147","0.6535416994143725","0.6735229605377732","0.668271581310371","0.7157491278526534","0.6585399328962227","0.6409461007538727","0.6436685256426015","0.6916810672213723","0.6359537159573793","0.6068210087165737","0.5797025877262784"
"Arkansas","1.2729682177486976","1.2627104099560296","1.1815650486662508","1.2051679253187897","1.1295513900400396","1.061966144121948","0.9964161921685297","1.0169860854973527","0.95339170046897","0.8278059645082527","0.803602441319042","0.7637226048672936","0.6971612375732589","0.5941817669830826","0.6194195385922684","0.5995611143602432","0.5767676159260006","0.580146043311432","0.5565054897050358","0.5050541810595541","0.49381255224180715","0.47665764281254996","0.4677900437794406","0.45887729865726673","0.42582641251822234","0.4748060397797974","0.472856426053179","0.4897470910060907","0.5065353257316451","0.5029001284552255","0.49284523590663804","0.49105157404672617","0.4931617282554803"
"Virginia","0.4445073332822982","0.44952131026455444","0.4419799395343271","0.45038435302483726","0.4371732322847674","0.4485468853320552","0.42613709808360656","0.44859837672545827","0.47655152055190575","0.4685557202702915","0.49673576319843926","0.504019955064965","0.5098418370635607","0.5062005058244575","0.4767516204314082","0.5525321260931354","0.49084360893165935","0.5139270584388589","0.49631973683463604","0.49866072828329505","0.5231168525732386","0.47197675618449897","0.46463081707227505","0.48477438594576394","0.5037129863518145","0.5333928334823121","0.5346219694970037","0.5153917737367497","0.570064352402813","0.5453872303204305","0.5170897089185914","0.49580838071215877","0.48913788505296746"
"Mississippi","0.5600526922359477","0.5554789162917071","0.5431977117699681","0.5730474062271259","0.5905244475672665","0.6039950447733581","0.6303275664352918","0.6429242816914096","0.6927410973966339","0.6795760619533979","0.6782004174405373","0.666546336081781","0.6540214434384545","0.7026888249150414","0.6956089433271779","0.7276440032731147","0.6654365998512551","0.6912681210543243","0.6637525353150286","0.6524563395725648","0.6691822637471634","0.6199925972305803","0.6359071902584732","0.6572439882511611","0.7017612379818945","0.6959945835690109","0.6992177373936918","0.6956035843980967","0.5047218764807533","0.5088742072454602","0.4689981375582739","0.47363461880023794","0.4653070105526515"
"Kentucky","0.5554017650328987","0.5813463287126359","0.5527208766245252","0.5623273383402753","0.5465324494131076","0.5596618725186063","0.47496374132976327","0.45226233545251604","0.46302264833372003","0.4255156004447767","0.4260312148986967","0.4340841214037548","0.43332379287404177","0.4383843217573909","0.42765302334378097","0.45479180596198704","0.4258212323379563","0.4769737733078152","0.4459767401898041","0.4390920936748957","0.45057056625553865","0.4368228764726741","0.4593679841978707","0.4364511572248506","0.4390047865457514","0.5063789018775883","0.5136870377686489","0.4951759374067908","0.45307262930827796","0.5027904399481211","0.4926887855565947","0.4781444983547445","0.46528251927111103"
"Oregon","0.39468133189793037","0.3971823815612432","0.4055462710703717","0.38971663606043255","0.40476412034351084","0.41554773836724634","0.3999657442477291","0.40258293605811457","0.3916211163633063","0.4095308690382164","0.40878434298582506","0.4269197028641962","0.47806216637638177","0.5294917989264692","0.5357271702963604","0.5424517571060452","0.5391838442033449","0.5545381952358224","0.5571444060944423","0.564027557053316","0.5404133477901787","0.5878664713057971","0.4106271732108236","0.3818180837973085","0.4030806948459112","0.42004803686905356","0.4285532948899694","0.4286083017302397","0.4656667534572105","0.4058458456884102","0.4281588645771205","0.4256015009226602","0.43537409078190886"
"Vermont","0.1634403493815187","0.15872841758505166","0.15484724430151608","0.17353161968151848","0.17153412882701075","0.1771315815323209","0.18498546090264123","0.19512554291692988","0.22666919252787504","0.25750664309152294","0.25500789941244084","0.279020577482004","0.29286335142859266","0.31032430197246574","0.30079285475255435","0.31909480900559123","0.3117249060089239","0.32061040967591947","0.3286244090837153","0.3297304543814311","0.32848452222708063","0.34800555474779127","0.35441892966212335","0.37046455072644957","0.38032372472524295","0.40965453723741685","0.4318467706140572","0.42631489964878133","0.43734776502711226","0.4170911416244965","0.4196160585776186","0.41170581904807346","0.409698352922858"
"Tennessee","0.4466684543188671","0.43571887402046205","0.40990864478767347","0.3922184078906145","0.4131563459387776","0.39011997435060164","0.34267774538616486","0.3240323047965586","0.3375687215001622","0.3118711041752604","0.30340637277466365","0.31542045344464714","0.32956041502094335","0.31312560639643544","0.3091661521674348","0.30972165225629905","0.3293024708703837","0.32195587712527557","0.3189762184846886","0.3085842218755912","0.31159004721670563","0.3103237040866429","0.3015449184129892","0.2936599142000715","0.3122553298762401","0.35403333654686736","0.35562267333021846","0.3528493221366461","0.3495610951680258","0.3502810235773518","0.3521546773233827","0.3676697827147782","0.3441843519209272"
"South Carolina","0.38898659996198076","0.3666055645695014","0.34842068814294197","0.38481916157688956","0.37264249181301917","0.3741538169255393","0.36552371810774914","0.38281180663432746","0.38870793534838755","0.38098906724508474","0.4225805713777198","0.45148086966158196","0.42904168137504395","0.430509101428296","0.43227749008352506","0.4275147799707366","0.41918991551837853","0.436177274895276","0.3923101007410362","0.38147877870443536","0.38139438090920486","0.3415333685256723","0.35766944437335063","0.3396196049321235","0.35903742418334306","0.3672289832957191","0.3331314757688015","0.3248118838887957","0.33563672819908047","0.32109129629490807","0.30207832395998946","0.2672432037218916","0.2638836915437101"
"Maryland","0.24208446309767603","0.25275433579433504","0.24052148673617077","0.25296475991245476","0.23006280357512973","0.22548745091570038","0.2219175437968873","0.22154198178568474","0.23523122973229127","0.24352638522323747","0.24320932847436785","0.2445448345248409","0.2568587982099179","0.2503007034500081","0.2465562466545192","0.2609907172528255","0.25459591199272463","0.2549082821189215","0.2440406296890745","0.24657100598909876","0.2568468325941853","0.25882955065239743","0.2628560388470255","0.2635985665411321","0.25942339935861247","0.2775536815256296","0.2847969591236224","0.2809205613903663","0.2842108907733431","0.27305973053698906","0.2638553363562099","0.2597131442415926","0.251696898718559"
"Nevada","0.13127262474764628","0.13995561306368967","0.14349208443831346","0.13413429905509608","0.1427379790665432","0.15056903171881394","0.15486382696630643","0.1695092599345293","0.1722017430225198","0.1628922189786722","0.17007451862792505","0.17902133057646777","0.17467832013116608","0.1745261342100439","0.16408287100854071","0.16666645732810453","0.17320787449571862","0.18246432865832665","0.19108840315885509","0.18878534719374718","0.1924368431957485","0.19091399571945192","0.2027581680609902","0.19325716573890683","0.20306787698638182","0.19107527918373327","0.1833916356591013","0.20179926009983207","0.22227001636508545","0.22152120119440166","0.22193690177400643","0.2222297904565993","0.22595620513525025"
"Montana","0.20170085527210108","0.21574670556142167","0.21484929683591417","0.19148369529136033","0.2292319230481672","0.22156317277004514","0.21606303941446364","0.21627533558424536","0.2149385324325977","0.203945770309845","0.21126956856696055","0.21635161668524797","0.21700712414094245","0.2195025500850251","0.2005330604420841","0.20118261830213724","0.20731563137655437","0.2156568146898357","0.2010568301826944","0.19468911178543613","0.17905564090121537","0.1790355470245484","0.18515293887000722","0.18971513008902485","0.19177634197472768","0.1886430568216829","0.18944548741550246","0.2010546298608977","0.19235157990212584","0.18656072778039703","0.18778236955736177","0.196323543534872","0.1882548409598349"
"North Dakota","0.21772298522172473","0.23523600483572063","0.22456002579809545","0.22363957577481355","0.2185440054915561","0.24193837656432385","0.2085018784296034","0.22281616216671418","0.2147374372093056","0.210705652610671","0.21697304362323755","0.20643757789976694","0.20636321386303785","0.2025450583070209","0.18396085883605007","0.19381629279097287","0.2057718212867569","0.20838444809276124","0.19069779443374887","0.19283445088734924","0.19343908900766854","0.18734375290873526","0.17919151214195617","0.17882921556525674","0.16621316492275265","0.16936730536301953","0.18464149146742992","0.18858041922468016","0.19436804497675494","0.18268972559967572","0.1814903527441221","0.19363951694105697","0.1825697016796852"
"Wyoming","0.09961420210643131","0.08705972711444261","0.11396114083124158","0.10673149734092814","0.11991423344135081","0.13000782946744133","0.12940244775861784","0.13402076015251926","0.1466492566390738","0.145283504062179","0.1463558808428334","0.1371741764496738","0.1337456544138739","0.12947319625645928","0.12746348327059567","0.12077713241173128","0.1300815753150662","0.14356801297126406","0.1273114281908831","0.12443142412412786","0.1231998411328173","0.1260838915365529","0.13242408135702402","0.13117153462341347","0.1271985029835949","0.13274114469695256","0.13200981065929118","0.13408353986508412","0.1307490783230256","0.12797786991782695","0.13303319962437568","0.14842494575041068","0.15309800563481576"
