"Manure Management, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Louisiana","0.22634246596311408","0.2098904454149843","0.21540612034873396","0.22858498533793037","0.221611202111875","0.22887024686218665","0.21501852144622888","0.20580642315237715","0.21753605796917713","0.2176711913387314","0.2243031356340671","0.22929785443178574","0.22274431448739646","0.21117882828177414","0.210643567841691","0.2010850848723593","0.19105662151268543","0.1911093439412464","0.17491386776062565","0.1735824366087192","0.16291519174561916","0.15533938457880245","0.15131701762686273","0.14681209171182932","0.1441716135827237","0.14782706761216344","0.14266622970367146","0.14067395235401703","0.1402407351090266","0.13800270091569147","0.13987861293075615","0.13555275689206966","0.13420454392579953"
"Connecticut","0.059594684345150924","0.05970586745213754","0.05772419664089869","0.06293346672480254","0.062112620802434335","0.060700334046567404","0.05972690391281956","0.05727397261538545","0.06393722442329755","0.06785150303079363","0.06556806272624534","0.06682265365612018","0.06622850739985801","0.06554788936044599","0.061824757037577366","0.0639130027473609","0.0667605538141194","0.06823351934488074","0.06952455945877795","0.06822588029426031","0.07215591218140334","0.07528548432169409","0.0769722161620191","0.07741105449626387","0.08279632970994034","0.08968242130751836","0.0943672864470872","0.09322679946908753","0.1014667527863317","0.09413955137666201","0.09984085077802217","0.09662667900721125","0.09752993072949989"
"Maine","0.056836842557528675","0.05728046372556824","0.05789495977604121","0.06283581128011262","0.063010018460419","0.06267737696530415","0.06530738680979467","0.06869570106845031","0.07452593477235737","0.0810597313837462","0.07825456526249634","0.08233333401983206","0.08697735531980504","0.0863569526402369","0.08246516559395178","0.08680836670835394","0.08739770122543551","0.09152737400897507","0.09633774042245254","0.09771940469387191","0.10171779926716246","0.0929656600413516","0.09628372015839878","0.10070362467862179","0.10006044643888161","0.10417727435027628","0.10983815306596939","0.10825074191762313","0.10915668076127838","0.10203464159488966","0.10509673520765607","0.1013526705144318","0.0974625578905914"
"Delaware","0.0692771572622127","0.07349185992029683","0.07590141004401851","0.0807220446771405","0.07823657165451384","0.08047143608091506","0.07867243201607822","0.07962775994969719","0.08415554998882388","0.0862584226579825","0.08366557541609695","0.08574383307542673","0.08845458452758072","0.09003445437560618","0.08644708474724563","0.08826136306970453","0.08638498163602333","0.08864039225318375","0.08675287333517222","0.08540050959753716","0.08671993303328525","0.08113003467096491","0.0827622196115993","0.0827937965356754","0.09190781540682207","0.09669425745253017","0.10297584009744823","0.10582104254280103","0.10946165763274607","0.10594231228714476","0.10025253300499451","0.09025219380537501","0.08982278245911013"
"West Virginia","0.05955580492935379","0.06367285867561932","0.06308463246436531","0.06989556622403345","0.07343924760732748","0.07404660408750699","0.0721126438499853","0.07171629234838019","0.0732287679511984","0.07538689505720911","0.07301200753667231","0.07269102538984817","0.07440733174592022","0.07307988579583667","0.06877758011770414","0.06740003643492679","0.0718858917435735","0.07503391488217609","0.06834039007086298","0.0671834030360532","0.06761357751870009","0.06624784411951795","0.0696657076342364","0.06990683946106889","0.06865998501910747","0.06962149953233711","0.07158851900979797","0.0681983047011987","0.06437227602199494","0.06284407999524133","0.05942086074778066","0.05586474609404237","0.058046872509636485"
"New Hampshire","0.022542889536453014","0.024435960290452956","0.024083333431983617","0.025465059704495287","0.024987774549188116","0.0253016417320993","0.025036525056751396","0.024925440902942683","0.02870307631787413","0.0321599331259893","0.031233164141695708","0.03203913830744329","0.03369476229293916","0.03361555616550211","0.03160491318391114","0.03419679985963543","0.0348832043368286","0.03521411274805884","0.03664256176289016","0.03734424276069904","0.0407736406667973","0.0425225384797613","0.04042635573314455","0.041064757616626826","0.04062998387178853","0.04411257515858477","0.04650082294029859","0.045332593721818214","0.04390386509010161","0.0412903615005468","0.038578226304458736","0.038294184947624314","0.03772816448588689"
"New Jersey","0.043319350385758806","0.044857022041355846","0.0416385402719706","0.04352821038408576","0.041043806811316044","0.04404858065361767","0.04150466395917109","0.041582289588574614","0.04287900774625708","0.043477107531447234","0.03959134212751968","0.04270031464609193","0.04152192195026012","0.039588446067066387","0.037572388395815","0.036524627663798125","0.03460654547651917","0.03625081975209032","0.03918570823718471","0.04011843094358859","0.041228575949976747","0.04044683749498312","0.04279099260243659","0.04136317955505025","0.03964557687594333","0.04800990393715892","0.054330837081542606","0.05260308579575225","0.055738756297713465","0.0466848006383523","0.037228763340327445","0.03675728846466149","0.036186697545514505"
"Massachusetts","0.04442701991535683","0.04421312536316119","0.04188798089805198","0.0423043154525512","0.04022605983011534","0.03900427456548207","0.03855343415993408","0.04061587225039424","0.04325849615958905","0.043724642983303356","0.0412597171194853","0.039217062724995165","0.04028722231964553","0.039709417079520595","0.03564658245592251","0.03601740972148987","0.03447408431224458","0.03494648603520047","0.03437243277424072","0.033934232980480684","0.035470510561601214","0.03169829354865381","0.029409565517186226","0.029191488600366536","0.028883905270734762","0.03194426297398517","0.029035048383741446","0.023979600367123828","0.025297252085044415","0.021036313800874677","0.020465933249916992","0.020372720616472755","0.019115056263353025"
"Hawaii","0.12864842893668335","0.12722287253169448","0.10998202303681967","0.10418659929197797","0.10029140202568651","0.09740677991333874","0.07894011976973536","0.07842443003809509","0.07534077568549348","0.07206030242781745","0.07598103096995827","0.06385336682943875","0.06237368072398419","0.060497147458136245","0.052414398368536105","0.04767286347489478","0.039912362122546154","0.03407858383403213","0.024138609183268996","0.022483067577408224","0.02195525967889688","0.023005766582154325","0.022841441846169735","0.02437165227023884","0.021545337499509626","0.022237796010453482","0.02238676496410366","0.023410885426040973","0.021855997258115524","0.015072544281501947","0.012372141373676447","0.011080430692260413","0.011371927247427789"
"Rhode Island","0.0044312615273483895","0.004676955201329857","0.004275780750381942","0.003907633084470972","0.003498224553361036","0.0032451720758054775","0.0028831435696389024","0.002730559221305471","0.002998956856307159","0.003128003872577069","0.003069133400654806","0.0031430293493866883","0.0029249591371634394","0.0031521519746624755","0.003077116061847906","0.003032534748724001","0.002955942395788946","0.0032419023089637284","0.003460197320842072","0.003568866043583002","0.003952141610471053","0.004272726387259441","0.004688352374729839","0.0045097255999522225","0.00365388565952293","0.0035606775916174737","0.0034962913988692682","0.0029446070023019595","0.0030316481329409296","0.0026867386939725293","0.0025450486657052174","0.002307113474451516","0.0022183545136694833"
"Alaska","0.0005271851090294673","0.00048469102005449874","0.0004731117698780985","0.0007571201628338065","0.0011652834358564553","0.0015160471190192562","0.0020243341915036645","0.002265729167718519","0.0021017400808859836","0.002111563838535813","0.002061784872072298","0.0022387749630780915","0.0026072749199976945","0.002680665020146566","0.0024777421611307665","0.002465271060734356","0.0017728462538127551","0.0016847087872065847","0.001671026592532307","0.0018744423908341923","0.0021037160336049897","0.002237847660827783","0.0027323729912149173","0.00211298998440288","0.0015578581706657633","0.001372616074501576","0.0011908978908497445","0.0009952492996000886","0.0010668558380161452","0.0009331536342622074","0.0010219340104092947","0.0009436386711641377","0.0009441376780750117"
"District Of Columbia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
