"Field Burning of Agricultural Residues, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"West Virginia","0.0003842531441197977","0.000307452313477157","0.0003966930989233796","0.0003467422304258422","0.00037639492850535274","0.0002972427012355241","0.00031571780084994325","0.00034860743640679814","0.00036272364509781904","0.0002908539680325861","0.0004065286585828115","0.00036940954046855024","0.00028727361380100834","0.0002460704705347281","0.0002889042590064035","0.00024497220310769276","0.00030948813419174204","0.00025360807185772745","0.00031582181088425756","0.00028384725564777736","0.0002696364283141254","0.00034247512622484505","0.00029676422937072606","0.00039453060067809177","0.00030555891192143603","0.0003288204369048254","0.0003301390846407286","0.00032577548270459585","0.0003265598953662314","0.0003257118217782606","0.00032583597700003406","0.0003256105970365781","0.0003234285883311951"
"Nevada","0.00031385048275059906","0.00016006877981668773","0.00014161562851240308","0.00020138527508351816","0.00022486902670907822","0.00020949777399850486","0.0002021318034100858","0.00043162254161130994","0.00020337497175240164","0.00020080587137250578","0.00020244732802842817","0.0004480357760641162","0.0002517547281661867","0.00024002058586547313","0.0005367539892457278","0.0007438435452445846","0.0002463653829459859","0.00027518198641758037","0.00026255871706218695","0.0004688243217832371","0.00023755313782674797","0.0002780220484031851","0.00019057163809785375","0.0003809538507378085","0.0001667062371660942","0.0002204673302509414","0.00024490453362045175","0.00023237507120568335","0.0002375375298946269","0.00023508610338769513","0.00023613827542238682","0.00023564900940348696","0.00023585224099628878"
"Maine","0.0000710955527334218","0.0000504082003427902","0.0000618015579436844","0.000056552870843195756","0.00005478647004802881","0.0000421028343946576","0.000043814923608175764","0.000053285620480811996","0.00006954988056545258","0.00003612416610735185","0.000051342612332548637","0.00005763626375054165","0.00006443371065315554","0.00005458865389156573","0.0000748072419069571","0.0000474103037767892","0.000052614527566910725","0.000054497757053685376","0.00004926047192313326","0.00003192270880318022","0.00004279062671526135","0.000038500210648381355","0.000048195608530403383","0.00006132415970245335","0.000046139811974367036","0.000053802299946680196","0.00005493082951050306","0.000055091777532472473","0.000055746790085634054","0.00005614461484437713","0.00005661685504314352","0.00005701286216843795","0.00005736165018944433"
"Vermont","0.00004784679097894536","0.00004650160028639642","0.00004860391296933363","0.00004029740451239309","0.00004103345879440662","0.00004016804350826386","0.00004443700588518281","0.000040716484783967236","0.0000388779601169036","0.000034349957801674215","0.00003795971160779596","0.000037740245944264704","0.000039683788762843634","0.0000397918305958026","0.00003332357580734372","0.000029118327674763436","0.00002892927785294466","0.000042542468110429536","0.00003123995707268998","0.00003180000669565451","0.00003142594696214622","0.00003359838652935469","0.00003394721132029478","0.00002796946026729937","0.000027335083454727648","0.000027318169940725055","0.000030070197453789926","0.000028681825968855223","0.000029312147340799355","0.00002903014730390427","0.0000291561222608899","0.000029099811777466818","0.00002912511085644113"
"Massachusetts","0.00002540959691762994","0.00002005592236686144","0.000021092942667288494","0.000021295303174620593","0.00002404643443408422","0.00002648521976251831","0.00002381374322959035","0.000019907535238705094","0.000020039953363438378","0.000020467804989933262","0.000024404955361781895","0.00002031405842429309","0.000020521264826886222","0.000019771152471355092","0.000021126506020527337","0.000020036332013596912","0.000019314265535461524","0.000018035173504766424","0.000019167616319308053","0.000017471741776442207","0.00001795551612395507","0.00002081367598903885","0.00002243120368307125","0.00001928771306821051","0.000016021528227571223","0.00001889288877081831","0.000020141996002044528","0.000019421004568995887","0.000019715263981007243","0.000019557642050587785","0.000019608413258533865","0.00001957037821191339","0.000019575606182285077"
"Connecticut","0.000015911668694593056","0.00001578683144463882","0.000015765800446685072","0.000015113611859889866","0.000017018232804218295","0.00001568624757650017","0.00001669992736045439","0.000016330971107737974","0.00001565388126486619","0.000011019965431576101","0.000015602211387175844","0.000013449752207159607","0.000014887239275138956","0.000014031954822019413","0.000014372841596302394","0.000013812267386099047","0.00001291615627300083","0.000012261946282958821","0.000014130162950757034","0.000013543945401289201","0.000010240610216413248","0.000011924026088769852","0.000010629665669736136","0.000012150708866718102","0.000010423827483273615","0.000010667508781563932","0.000011277807277730089","0.00001092084195341546","0.000011086136993165549","0.000011011888356443739","0.000011045107918138012","0.000011030241993596265","0.000011036942688756626"
"New Hampshire","0.000011746016705642794","0.000008664946014944028","0.000009870851237183723","0.000007196351842102556","0.00000984632813082227","0.000010275373929271006","0.00000899146441267181","0.000008069844458522027","0.000008812493611375035","0.000009536757195633576","0.000007844320334983655","0.000007891501548552042","0.000007764321856943582","0.000009221675112787285","0.000007322256076242047","0.00000882278285191912","0.00000756313416608836","0.000007684428134074227","0.000008921539578987761","0.000007453558148416753","0.0000065608717340263574","0.000007920232384666901","0.000006882051268120567","0.000010266555420148994","0.000005168426831621865","0.0000072292552558958224","0.000007590886306373719","0.000007369836160204126","0.00000747268120410053","0.000007426462444761691","0.000007447137423670186","0.0000074378879408163","0.000007442058123464"
"Rhode Island","0.0000023219042409906676","0.000002406556153754273","0.0000023850097900075134","0.0000013550419773031464","0.000001944813922017467","0.0000019889277112194798","0.0000018340622368825852","0.000001418599147957772","0.000001810244281372656","0.0000012398814659261176","0.0000016564863052734126","9.727242222981503e-7","0.000001781687775864686","0.000001217973037212439","0.0000014202838399911564","0.0000011521274107043535","0.000001609280252558056","9.07735166077434e-7","8.802431428508911e-7","0.000001042712246212621","9.693460780801205e-7","0.0000011029174394065334","8.937847872597362e-7","0.0000010264967797342464","0.0000013567948001145767","0.000001021805076283398","0.0000011200553791541042","0.0000010693966831286872","0.000001091408686127174","0.0000010808563379625507","0.000001085030272617733","0.000001082743325197532","0.0000010834443236670321"
"District Of Columbia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alaska","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
