"Field Burning of Agricultural Residues, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"North Dakota","0.017538351424659274","0.016557410307240002","0.02431375377438631","0.02195987212517759","0.018519198751698464","0.014384083051587618","0.01921933579561635","0.016482009490446987","0.022469830922269098","0.020267257030458754","0.028488091543812207","0.02651388740291006","0.024849997137975522","0.027888416050957186","0.0248280127811906","0.019945700795198695","0.016175966544625827","0.020305052389076837","0.019340164308984865","0.021729614522766078","0.021172644806363102","0.012893756887362955","0.02287701022807678","0.01876825338694479","0.023260410816331883","0.022568037453737616","0.022384021882210055","0.022404467474746694","0.02248524421974691","0.022562842771644345","0.022630861198428637","0.022685326335590072","0.022697560657368065"
"Mississippi","0.019435960442410867","0.019842855560652895","0.02442581080778201","0.02077481267694272","0.02096655238750952","0.018770961107949513","0.019190307983325855","0.021561574871525532","0.017549840733233162","0.016093031554385104","0.0178939186486141","0.017872974008595978","0.02219689127589388","0.022428924791213486","0.017671900213090196","0.021911773487832915","0.016549063900497443","0.02081585620915284","0.019729634810895392","0.014531848006625773","0.019194783390756774","0.01831253761915399","0.020440798536966537","0.022223314779049437","0.02261341465692264","0.023339010229782856","0.022362471293475083","0.02268166809213137","0.022261933891863435","0.02252459017774106","0.022280619513300307","0.022448931135053026","0.022241300381769614"
"Ohio","0.020678961067277485","0.019205334878002255","0.028081651452303888","0.024704956716993187","0.0236578627386756","0.021025183623247654","0.018565790595308534","0.028814450798437325","0.025153482469600485","0.024375128635453908","0.024860030739870795","0.023956721517800195","0.016815861086110793","0.02415594395149357","0.024872571433479637","0.02412304516018035","0.025812883369158903","0.025805932532357377","0.02204699914437021","0.026114063166205945","0.023367790197130013","0.02261629410654918","0.020012397792860785","0.024940621640799663","0.02490877503438447","0.02322727289584471","0.022623194130236945","0.022386251154620958","0.022310720993155064","0.022271189347987157","0.022252162842432997","0.022236749809815923","0.022101489474978746"
"Oklahoma","0.030572979282244502","0.02575269735744081","0.02542730916653251","0.0268030247903926","0.024583491513712707","0.01948913109086995","0.017281525703990157","0.028156671069442453","0.03164495343997632","0.028368105731736672","0.02738853554824629","0.026881580851052484","0.023878669110279676","0.03133297632128107","0.02759801199912362","0.025834990352595535","0.01872612012830836","0.022034558623503918","0.027074971152174346","0.01686374899396483","0.02265754856658736","0.017290891756583413","0.02674026645644095","0.024389277821728825","0.014071133889511606","0.022372216660990804","0.022076219942348","0.021980144125570682","0.021990380486526587","0.022001332238725857","0.022022605937211445","0.022036442002676432","0.022039359087978855"
"South Dakota","0.01332362823360961","0.012634745176589579","0.015687395629557958","0.015590860404298768","0.014137353860660257","0.011920346795879224","0.017288483066414225","0.015322212912740326","0.015823429716750673","0.01825628204118694","0.017913367986571303","0.018255163478548955","0.01436980246513089","0.023780107773424958","0.027190122539425567","0.01771567767069866","0.013824882711422936","0.019664567919864314","0.020560665974783822","0.019064219735518907","0.018393427455627887","0.016851509440025527","0.015306331830087274","0.018207177671958407","0.02054814720879962","0.018546536310063876","0.018377873092600326","0.018348459399683527","0.01838759585600632","0.01842391180341732","0.018459510864179823","0.018486393730980766","0.01843292333323295"
"North Carolina","0.009018002505874543","0.012558283740942994","0.013976085571766382","0.012248869650696189","0.013598565824735459","0.012055307392136576","0.013186678585926781","0.01441863388307362","0.011461491407708189","0.011142170355387645","0.013386336440970313","0.013196345671778992","0.00882695201560511","0.010241167034868664","0.010928636171688861","0.01077896129303173","0.011171830133128263","0.010147813881656913","0.013895151165073394","0.014952169732409114","0.01195885094766076","0.014126846977675014","0.016918305094535648","0.017185920973098862","0.018216595815433674","0.017599045540378125","0.017495486069663443","0.017336173365255867","0.017376155721304184","0.01732588072282675","0.01735341118942672","0.01733057598080114","0.017302422711152184"
"Minnesota","0.012280334534258223","0.011370680732233948","0.013570546147677776","0.008644269685105394","0.01185078196104995","0.010487389527473944","0.012645257168555728","0.01457934116271073","0.014401520991705722","0.014184956297124001","0.014559419943891623","0.012257184183755617","0.013905341441640226","0.013887107817473758","0.014176221245361234","0.014947293773179889","0.014437597828852821","0.014791456234180822","0.014993609682047045","0.015472031521382162","0.015854239617711274","0.014120769984057872","0.015589581038630453","0.014847651539994492","0.013951153552125596","0.014882977560246965","0.014645414222331248","0.014553201364892134","0.014534177515539126","0.014526273460479694","0.014526554178973273","0.014526455734076576","0.01443026997980154"
"Tennessee","0.005937789866800906","0.006275050771923432","0.007989151626311327","0.005944749990726026","0.006965525676241746","0.006613789312113971","0.007009491139302957","0.007130338371037532","0.0062950908584625985","0.006844704151193799","0.008261530161682408","0.009073291951770755","0.008300931088361276","0.009625083429241373","0.00955851269351553","0.009402386415980324","0.009492591142360944","0.007168755666680034","0.010067918951882736","0.010085929030830328","0.009109067251100344","0.011575956826226594","0.010688177172129014","0.016050932911284364","0.014082556408305226","0.013724017979819468","0.013485052153815732","0.013385574867699276","0.013359406450397567","0.013343755956454725","0.013337649744937969","0.013332062350986157","0.013281655580447105"
"Iowa","0","0","0","0","0","0","0","0","0","0","0","0","0","0.009608050834818986","0.02425270548145011","0.0019959141078688646","0.012726579174021603","0.027774810747854806","0.012709922073974573","0.01058797245658761","0.023625725487250154","0","0.02700150867344276","0","0.010880191036007196","0.012572453080235267","0.012379595303525129","0.012268887310682718","0.012246202994861554","0.012226057081668754","0.01221924137944015","0.012211617825451316","0.012107405254447343"
"Colorado","0.011194676861396337","0.009198442542785602","0.01061898210864212","0.014744056040880948","0.01045208748804112","0.011947150238546627","0.010476876981497208","0.011117084926830553","0.014325897310718476","0.01598262146148911","0.009511737216884954","0.011044032221456975","0.007958064569796652","0.010923710556227866","0.008613407328076235","0.008955112238244358","0.008467146340601256","0.013059919625398748","0.009556073248383474","0.013054600363028017","0.013024860345329192","0.011956462750359746","0.009630553509441989","0.009527495861324686","0.01379019203087228","0.011657757238875601","0.011697992011980471","0.011750667280241357","0.01182994644846886","0.011889464098064663","0.011941963373830758","0.01198230321145625","0.011990589092290244"
