"Enteric Fermentation, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Montana","4.670900026889866","4.931736168771243","5.373417088332453","5.366186081385366","5.446639204411916","5.732797148663854","5.76987285282736","5.676837095372351","5.58709772216013","5.59209039864149","5.615265248719693","5.503553943783566","5.363483757417712","5.3046703277887355","5.257567978514987","5.1534982738936765","5.272827853208229","5.715685525872913","6.114977704304607","6.078264369735631","5.868223089236591","5.866816682083271","5.830802969123594","5.99796608509989","5.997810220743831","6.017667280362014","6.12497381334656","6.098248320540932","6.015533271536357","5.849205777597431","5.82544268651248","5.674268936194888","5.224058634336303"
"Minnesota","5.109709821649285","5.169592793545128","5.1988912998112875","5.290279551063204","4.971391969085578","5.162954180429547","5.170474171096198","5.002732370029114","4.807024422270649","4.829126855997946","4.884998664013979","4.817169114003712","4.720241038293917","4.692318807755035","4.5607078316504515","4.545718176782615","4.52793524920137","4.655319773932864","4.673860093285036","4.713443349109803","4.712178686427548","4.661200669898466","4.645596355395582","4.763708916007754","4.6516675656057265","4.731838159090639","4.932819962164333","4.967476140609317","4.941251436589509","4.8916408152372","4.831361592758273","4.722199846551934","4.78586156113982"
"New York","3.8428391239491866","3.810316892097886","3.827327870527582","3.8020823124866925","3.714193181287584","3.643990092778655","3.6186355802567904","3.6288503918967026","3.6529240445425435","3.736150195074945","3.747714493938811","3.5831522207277127","3.641548600432873","3.6854265113227114","3.5223489633900797","3.5554040046540356","3.5882195944566107","3.7405830224332552","3.799201501241913","3.68007276030351","3.7063989554838064","3.725695188476182","3.781085620871599","3.7912272491689554","3.9317341187450503","3.9457954480476385","4.062986865490478","4.106026057175418","4.101438415722059","4.081746802337956","4.12875189876577","4.103705032229123","4.105719889761543"
"Kentucky","4.451369588706379","4.554210203131798","4.716042835022404","4.787146104593846","4.824833532126863","4.89143384221443","4.922470115098895","4.75971779014357","4.62949183394817","4.455692118428986","4.145862775680029","4.227666974878452","4.304385339492274","4.457845874964","4.43093619293075","4.363396375065786","4.447654261301544","4.720262113443388","4.569737125022638","4.382315613285483","4.248870442242922","4.0530025645191605","3.930263168023599","4.090680094073197","3.9028347881945433","3.896483413855817","4.047733146979982","3.996208704757368","3.992034681320432","3.9286504944304426","3.8999617896791827","3.780009334660816","3.694240287410615"
"North Dakota","3.2336255293111247","3.3259941404410265","3.4451123355511295","3.5403212385967646","3.792002956315243","3.925015959814415","3.7921547955554993","3.7818816009608716","3.59000647570765","3.773306772418123","3.7117999368073917","3.860110499632127","3.8556970113337385","3.7177148588804463","3.5425248587930382","3.5504996763949226","3.5366169270698715","3.650218485887026","3.529843056612687","3.5076020766401848","3.4153895859117647","3.3943087633163533","3.300595490504547","3.5200143412461165","3.455389186145988","3.3104434107770127","3.4638403214514835","3.6523614364543917","3.6838832374413024","3.6681127694718443","3.728110987662113","3.7230872422904793","3.5558430142960415"
"Florida","4.019775567759012","4.015871154819605","4.077940973883121","4.149922951270907","4.261197548545801","4.346976124151902","4.229678854287827","4.141035689756602","3.9524558960677116","3.8684738632464737","3.8663572998619067","3.8057999785064225","3.74794923048416","3.73553507096844","3.7391651321586306","3.7010291194504132","3.650267310101426","3.7473820645052878","3.671752928567707","3.676951678444583","3.689288992030432","3.6108908310111607","3.7382199422269777","3.7674273565067815","3.6181625349392523","3.646674120761376","3.6305289618273755","3.633371259874431","3.550032640630809","3.6134994369996636","3.5891063016197164","3.619080010327252","3.475874236219152"
"Pennsylvania","4.122733140487358","4.096988166581302","4.194697919602716","4.097747229664906","3.954047597931191","3.9418043073412687","3.9371294530341396","3.9025438418184573","3.8789777773860665","3.8944055172732837","3.8841507025724686","3.8187019553280286","3.793462932451537","3.7564548804347124","3.6064658130621687","3.6640528477853516","3.6446288417182413","3.7200116706317106","3.726621717873865","3.7172558062309635","3.76444176088686","3.7729827401392417","3.7788944654738104","3.816509405915345","3.846482982970033","3.758482040495471","3.8589323253130896","3.9241255729236184","3.939678817487849","3.869073237567174","3.7425223630105804","3.5856025468886843","3.415592027522055"
"New Mexico","2.8051744007731947","2.77134640365555","2.848606265107541","3.0163818529377893","3.1532682149061495","3.266773199242653","3.3805333793486705","3.4041270974394506","3.455280099369163","3.497687012060861","3.493895086952301","3.4607597860121038","3.483909345343843","3.5018101533079036","3.448281068029097","3.5146488046805056","3.704583537903693","3.7269711019753062","3.8725657875308865","3.826228718662313","3.713510385195888","3.687296458418092","3.5308052338542066","3.4356941992903107","3.249408799265196","3.268532452460529","3.3531391529232875","3.495481091696983","3.7119694117870856","3.6213840554834835","3.5874581366723697","3.526150242322056","3.2751361475479914"
"Tennessee","4.081892893333599","4.040621064327495","4.092044317654878","4.183006514218043","4.42669554721696","4.552606264919121","4.567840145906308","4.247281126884836","4.141594992795582","3.9903559940483304","3.9144343410933558","3.9625714395289533","4.037195545064531","4.238317897844145","4.077940698755919","4.037366539256481","4.135969673564194","4.249545985038896","4.023750395557789","3.6639402601594067","3.793218413298476","3.718868435054366","3.608296358320018","3.4138213794856984","3.281036003857735","3.2987137577519476","3.4161968968057046","3.463529123678348","3.4102059473735533","3.407299571322492","3.3630482157781554","3.3493998248018984","3.2699223411006835"
"Arkansas","3.1888804598134275","3.0419052014169714","3.1024532035030865","3.1116769788381817","3.399234896170537","3.5875586358113862","3.520837685122256","3.484410468764196","3.32857088558664","3.3316053681805298","3.3080004553953155","3.266841065887797","3.302872145222562","3.403592937398891","3.522476239316226","3.4144185927470874","3.208635948074742","3.211205945308277","3.296277011679384","3.2728005072804747","3.372619393000544","3.190557108876352","3.119322953862939","2.945892142509568","3.0172841810745386","3.005530435049868","3.1562316926584915","3.1865752962218394","3.197454855643618","3.2189267063077764","3.154227075831389","3.1931485454388646","3.0847688124974066"
