"Liming, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Minnesota","0.07519266808920953","0.08031960891645255","0.07112819954384686","0.060952497401468755","0.04928261217338013","0.04876344229098259","0.06405331731646814","0.0784659742048354","0.10368717780119156","0.11571450990279088","0.10889919975796364","0.0789914827733117","0.07305159461910525","0.05576593662561447","0.06016099105214068","0.022468433504198505","0.053191805873365854","0.059527793221126654","0.04265087682367879","0.10129186498528993","0.04686754076454832","0.027204686339728376","0.13035155200937926","0.07016172771196574","0.01906639885042411","0.043592551100290665","0.0261455557170848","0","0","0","0.025355387705104107","0","0"
"Oregon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rhode Island","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arkansas","0.0488752342579862","0.05220774579569417","0.046233329703500456","0.039619123310954685","0.07525189283959244","0.07605870244128099","0.05343141042479253","0.08733604085407766","0.060327085266147815","0.09336963902501055","0.08732811226597081","0.0542567760463151","0.10366880706975966","0.14334202019964282","0.04790597435633423","0.1424971703818905","0.1709113762488476","0.09388936491787456","0.07693883662310684","0","0.0722541253453453","0.05594203106479356","0.13126952068550163","0.02532464728065036","0.031297673584658445","0.042306317146064275","0","0","0","0","0","0","0"
"Louisiana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"North Dakota","0.005012844539280635","0.00535464059443017","0.004741879969589791","0.004063499826764584","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pennsylvania","0.22996424323949913","0.24564413726948406","0.21753374360493158","0.18641305455282525","0.2416913734730439","0.20640123686686332","0.20181623094183687","0.11667549207849434","0.14893249175080242","0","0.19587939125793463","0.3043964714951355","0.2948920988668293","0.14884007028949212","0.3605945821705468","0","0.524070087375293","0","0.2554871150908602","0","0.37962708019284125","0.19119913357076707","0.2428027148343719","0.13907798096750607","0.17735348364639786","0.09314957382204783","0.17109959256033436","0.1927786627711825","0.1352412235728782","0.19484617033175547","0.16158687757829063","0","0"
"Washington","0.006266055674100793","0.006693300743037712","0.0059273499619872366","0.005079374783455729","0","0.0006133766325909756","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008047939460927259","0","0","0","0","0"
"North Carolina","0.02945046166827373","0.03145851349227725","0.027858544821340012","0.02387306148224193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0007811256794091385","0","0","0","0","0","0","0","0","0","0","0","0"
