"Livestock, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Missouri","9.039446608034329","9.18048594738618","9.321132895533475","9.653503639543974","10.208021144255511","10.097355963614534","10.135821093824259","9.952113987380836","9.77142146690127","9.670481106966971","9.417692366348636","9.357032148158124","9.411410816543519","9.638837128766534","9.37544200186258","9.472715980597966","9.79750197555444","9.698999697962993","9.319550704411705","9.20986974621201","9.134495884151987","8.664857373233948","8.692163517231648","8.154404556729718","8.377867926888976","8.712894687143647","9.008798112398473","9.52798641398095","9.707594209997895","9.544001551742587","9.590078011646282","9.318788971614294","8.853131605466459"
"Colorado","6.083102681158652","6.0636224731052435","6.481494685961293","6.5338802294840885","6.752570922022077","6.908406097506045","7.068611233518391","7.24869239860003","7.311355805500037","7.313794925952336","7.287708305197108","7.2329232834748085","7.168268134462487","6.54779759221622","5.795844204696367","6.255950677370666","6.5636520277643475","7.220046724128739","7.232141442293889","6.901125464915096","6.886025733615205","7.072441268758533","7.4592526379297635","7.1152124763698525","7.0625068108119455","7.232262589076832","7.552130215331591","7.859098170011151","7.947243308877874","8.05682299996847","8.122290761482876","8.048590032610388","7.924977780529225"
"North Carolina","3.914728787354303","4.310866197583769","4.898301208760654","5.475155592393935","6.4356025518586435","7.299033004996188","8.027059094621317","8.330943775160248","8.6054097715124","8.275862425014695","8.031378218276387","8.308156006471267","8.459755633710012","8.288554038828496","8.344924994471487","8.347117890989887","8.03514889070541","8.449504281467814","8.055530902460333","7.88977460949374","7.65252977188487","7.518227568136991","7.362221457198556","7.185741827257873","6.765811575582253","7.429377724696708","7.611730833618749","7.626606110920758","7.62647404921146","7.77636729524707","7.650025511624786","7.03642500620932","6.969294763253879"
"New York","4.738735389706288","4.72575607195919","4.700822450065001","4.720473835445409","4.63036806343185","4.590861917860736","4.563762826759167","4.627185813793361","4.775887577457537","4.985175635107826","5.0312856790772535","4.930040046380904","5.112913552570837","5.176999329176179","4.996055451363958","5.194867069656125","5.239378759059472","5.555530133327932","5.642925274175851","5.529083817995436","5.729142798611067","5.824985584789518","5.943601975070887","6.016498571485503","6.235791318020064","6.428669007655984","6.763919001656789","6.74771494495536","6.8632122305809355","6.761119499509265","6.903629249230667","6.916666515582702","6.887938792033563"
"Michigan","3.5563451256998353","3.5302697290383342","3.4463970666395314","3.564860745499276","3.645878983977726","3.677148658516804","3.505084011874533","3.4136539647736637","3.423992381482027","3.4644963564481843","3.39376447189156","3.392968143903871","3.461799972230366","3.5473991468365984","3.502905299822523","3.6627839241533833","3.7415964856254247","4.0172139121537995","3.989034957940602","4.064299389809538","4.349924179850394","4.367495576746812","4.568087099716398","4.638242235138078","4.735907205435246","5.068984225682456","5.402884991442556","5.529206580604583","5.583986612972938","5.505071512879894","5.6052509800139205","5.835317430750154","5.678265090016387"
"Pennsylvania","5.194971616396607","5.196860469008932","5.260075224067645","5.230794175700317","5.089254494065368","5.0689612410267255","5.024546081104843","5.031505920152355","5.116869129577809","5.186153730949342","5.169791336183919","5.172298303790461","5.23291586183761","5.18495786125078","5.016176216614327","5.2022165708451915","5.174887117500518","5.371061923697393","5.352828517593297","5.36252751453969","5.575629833484445","5.612334841838741","5.6589369736571875","5.702699459708796","5.749846334441716","5.806412453590842","5.9991597847597795","6.035005624987408","6.137958879149665","6.003487535058081","5.847567027023159","5.671686295277537","5.417129986905941"
"Montana","4.872600882161967","5.147482874332664","5.588266385168368","5.557669776676725","5.675871127460083","5.954360321433899","5.985935892241823","5.893112430956595","5.8020362545927275","5.796036168951336","5.826534817286654","5.719905560468814","5.580490881558656","5.5241728778737595","5.458101038957072","5.354680892195814","5.480143484584782","5.9313423405627494","6.316034534487302","6.272953481521066","6.047278730137807","6.045852229107819","6.015955907993601","6.187681215188915","6.189586562718557","6.206310337183697","6.314419300762062","6.299302950401832","6.207884851438484","6.035766505377828","6.013225056069842","5.87059247972976","5.412313475296139"
"Ohio","4.259725766962089","4.322915613935126","4.180378616499209","4.049030253696721","4.022591834564481","4.102085961582331","4.013461291325932","3.816750005138985","3.8612478700458066","3.798030871278283","3.696601092843523","3.754773167788862","3.837974363944622","3.786454085480565","3.797308874075784","4.093145787044608","4.114194449052162","4.21643451724725","4.244139474932437","4.395677970493842","4.527356741226335","4.441605424406222","4.508678410953142","4.4821356765940745","4.442354407213691","4.6903927305663276","4.893373239891832","4.921469801822955","5.054053251144201","5.05854396740236","5.0202108662136915","5.054071113974516","4.9884367160268805"
"New Mexico","3.30619272352353","3.3583531487501923","3.5195586575683873","3.8294674693744315","4.160815427004934","4.352009787270063","4.591946218771043","4.637376432749328","4.798181814309752","4.858361247867066","4.975043075160706","5.0355330867920465","5.163843908296011","5.305480500313398","5.115384103590943","5.195867353809527","5.464897469593505","5.58252972219572","5.628167977550582","5.59258220996843","5.358785002732848","5.336639523867201","5.150070992399542","4.91803663651733","4.699322996208404","4.658854126639042","4.6783865486419405","4.858385275699771","5.132232303271481","5.0378685856185434","5.024147635079991","4.968712905277843","4.536717089241595"
"Illinois","5.633928344847716","5.900419341557066","5.7377560100379394","5.7834148790460045","5.748784346744772","5.547157519825574","5.015687624815884","4.829964563764026","5.0356794836570025","4.800344008600911","4.688536032236279","4.607308255715622","4.601212766278967","4.3599951165990944","4.23687018641628","4.48602036076979","4.5125794228777","4.546793320900359","4.293378717149346","4.263123455100656","4.507538401762451","4.343724760025662","4.430580198913729","4.372639489541587","4.368080695386606","4.571760204089211","4.899225096604698","4.948257686259642","4.9433516897589325","4.889860863266261","4.718504003752781","4.751083336366797","4.527422704400382"
