"Agriculture Sector Fuel Combustion, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"North Carolina","0.6669568469397344","0.7431846686421275","0.7539607289572373","0.7325693482098149","0.7108399074330043","0.7215198516912538","0.6164648481957009","0.6150050994339132","0.541923614394069","0.6124013627076088","0.7117372245757579","0.8581941488753457","0.8611590350047875","0.7271730806544815","0.8402914887797971","0.849784329823739","0.8877577034541135","0.9609673918086113","0.7627223183203742","0.8493136692175605","0.8979529439152351","0.8885552952197143","0.9643021366701715","0.977425698746672","0.844691643397475","0.6354597841146193","0.7139080559969643","0.6089130068172263","0.6135751268483193","0.6351356811190709","0.5705528077769376","0.5812115105677474","0.5746269409084704"
"Montana","0.8257110416962433","0.8665390569800083","0.588760410877341","0.7568706513725905","0.6236090746558509","0.8253059471378003","0.8777072191130875","0.8525838810068632","0.6677404152267633","0.6635564428180337","0.6192975211463271","0.5413617553738577","0.5504180102584096","0.7068542082114357","0.8697261217098647","1.0176652305761507","1.2456610000142263","1.4570321288619532","1.2984009830430734","1.496561856197622","0.7102252613212885","0.7298365587296595","0.75260577284726","0.7546134605104245","0.7655124917243391","0.5187724595111239","0.4868543413634497","0.517917886816873","0.5015469436170836","0.5405759994073189","0.5702178566829185","0.5791045769203388","0.571786481472257"
"Pennsylvania","0.7425751143811244","0.7380628074672559","0.8039268207664205","0.6923805085052854","0.5627713405525888","0.507623887890991","0.4658810169935607","0.47145735080718154","0.4461358174536895","0.551033325643966","0.4841377692117146","0.4878393099360488","0.5273505317739797","0.626438127549198","0.8330109505600666","0.8521572775755175","1.1764318888796026","1.1102487227702045","0.7458081702762522","0.8824555178066535","1.2094620678493628","1.1830756721439788","1.1726624701492436","1.0976944345527204","1.155160112353635","0.6948081007120678","0.7128673360157495","0.7108994414271608","0.6458566593440719","0.6785701202167346","0.5643774074987571","0.5741570340911919","0.5676926946992074"
"Colorado","0.6397344228357721","0.6502561879740782","0.8769373251312075","0.8119651412234618","0.7554066298451957","0.7280784912976118","0.8302906855092953","0.8271746365457057","0.8278333513093529","0.6033926400334512","0.5811533067349662","0.5931848454365376","0.6248159597442398","0.7426003325013837","0.6847007711600364","0.7098122753574521","0.7401527882970947","0.7267876732642321","0.7422942515494143","0.7004955508596352","0.7471510482834621","0.7716622281091815","0.6758825743172158","0.560728114461545","0.6458095924198404","0.551521963930477","0.47288636473627743","0.499538967659406","0.5329928577052979","0.5925798633732087","0.5181876518635754","0.5293696562914858","0.5226820687658643"
"New York","0.7363374894032914","0.7659369952340824","0.7768075157980856","0.8608035762180298","0.7315225838801833","0.5347540277020146","0.5304941818107333","0.5536065691666587","0.5922053710702765","0.636793678661446","0.6511971902521825","0.5965486548810583","0.6869461503038846","0.790038653240611","0.9198676399629697","0.943369194930928","1.0565271284042972","1.014790046411723","0.6552060693161146","0.6332186129647617","0.6682630956757556","0.7900696315523416","0.8224170383729286","0.695411506899043","0.7243960390905685","0.4601986730497796","0.3898542409483398","0.4000872230592916","0.4144516447770305","0.4435999227081656","0.4524001241542178","0.4600252284900875","0.4550645707763661"
"Kentucky","0.7157585354618932","0.6261544727488558","0.7417558178208776","0.9223380494950963","0.8560906891484863","0.7583445502253313","0.6873732197208542","0.780593207067293","0.7335725063131047","0.5266516260988466","0.5114158240769047","0.6258419715580614","0.6573683946088253","0.6811835236380164","0.8122878484333262","0.8208658887279959","0.9209754537385063","0.7605769846763223","0.5534489212227408","0.5823030130237771","0.44268499847512877","0.46813510228615607","0.45790223607698954","0.40704095576473337","0.41392766876251974","0.2969368439810792","0.3316795253751722","0.3105339688959976","0.37987542087431125","0.4015046697609416","0.4433356461100505","0.45273233026684623","0.4481571704762005"
"Oregon","0.6102309102422456","0.6314399398143917","0.46917637320778616","0.6149221129034349","0.6322473130673232","0.7403079947444982","0.5183854844034921","0.5737019513240442","0.572294555722926","0.6130380881164051","0.7706570229416131","0.5745099984815883","0.6638705268081881","0.4284098456567157","0.5763098192080927","0.5474835507600111","0.576732456428183","0.5126345180928231","0.4308997203005576","0.5888223976683543","0.549899472997892","0.709021044966326","0.7235685174574761","0.6274315777231669","0.6070123553012842","0.5635845071764525","0.5588945653995024","0.5272932815061918","0.5053635710168756","0.4848514433158917","0.4407966253593483","0.4482736594599452","0.44274112545685324"
"Arizona","0.3932029015485107","0.27647960280847056","0.26752426398757667","0.24628591294295882","0.28908071850239603","0.3506646566168268","0.327381654251673","0.3715624920830448","0.326032314563134","0.3544412228054438","0.28960113059626036","0.3762403271999559","0.4174971437161007","0.25891265803688646","0.24291902944657157","0.27072956914192436","0.30049058791708955","0.2769411841450945","0.40073643543523396","0.5147760536604576","0.6055211819770684","0.6704233922277486","0.6287438270016784","0.601853710781334","0.6180399585044235","0.4639119594299729","0.5850179901154338","0.5066040005691875","0.41376908655871253","0.4516560512478478","0.40487851409358816","0.4117151901547677","0.4065578813362977"
"Alabama","0.6581716112297802","0.4614824887506294","0.4779834625564706","0.5575990645848526","0.560204422050041","0.6977803972237749","0.567204897378023","0.5618624582488404","0.4680031572733397","0.39592729916191194","0.3514486477956924","0.4009722881839896","0.42429276444517","0.5478904159299832","0.6655231652906931","0.7012057319592656","0.7269756491521651","0.7419449821659551","0.7315565261178532","0.5708563748091963","0.384117967952899","0.44198178777628033","0.4461894974921011","0.4189885458702298","0.3524410042185605","0.3102951759630476","0.40232992560393477","0.33082705723732814","0.3890912290605154","0.39986519209906324","0.3574254959601875","0.3643724290490164","0.3599599477568623"
"Tennessee","0.7240080928261712","0.6874594752759594","0.6675360458776359","0.6860338571800723","0.7812058169428897","0.8511424537562451","0.7702695673141505","0.9116606680006578","0.805902032563629","0.5301119129291808","0.5515887005296232","0.5025014315888227","0.48737177615185967","0.5324268663530648","0.7019141910419511","0.7330847555306272","0.8771902098344941","0.8977454856781417","0.5629730872589126","0.5838600762660855","0.4282180907095116","0.41211167363142065","0.5211947952868515","0.400922878774192","0.3880571217391088","0.3556270809496992","0.37793108560438166","0.4760059673780208","0.3940951398748974","0.38286674579174323","0.3560311039121499","0.3618495987644417","0.358163210064166"
